154,mail,郵便物、郵便配達,輸送する,,,
155,prefer,,～を（…よりも）好む,,,
156,response,返答、返事,,,,
157,region,値域,,,,
158,donation,寄付,,,,
159,quarter,四半期,,,,
160,agreement,契約（書）、同意（書）、合意,,,,
161,journal,専門誌,,,,
162,distribute,,配布する、流通させる,,,
163,potential,可能性,,見込みがある、潜在的な,,
164,reschedule,,スケジュールを変更する,,,
165,renew,,更新する,,,
166,warehouse,倉庫,,,,
167,refund,返金,返金する,,,
168,advise,,勧める、忠告する、助言する,,,
169,immediately,,,,すぐに、即座に,
170,council,議会,,,,
171,broadcast,放送,放送する,,,
172,responsible,,,担当している、責任がある,,
173,avoid,,避ける,,,
174,effective,,,効果的な,,
175,invitation,招待（状）,,,,
176,reduce,,（値段を）下げる、減らす,,,
177,vehicle,乗り物、車両,,,,
178,efficient,,,効率的な,,
179,manufacturer,メーカー、製造業者,,,,
180,comfortable,,,快適な、楽な、自信があ,,
181,correct,,修正する,正確な、正しい,,
182,downtown,中心街,,中心街の,中心街で,
183,method,方法,,,,
184,entire,,,全体の,,
185,range,範囲,,,,
186,setting,環境,,,,
187,apologize,,おわびする,,,
188,frequent,,,頻繁な,,
189,promotion,昇進、販売促進,,,,
190,regarding,,,,,～に関する
191,temporary,,,一時的な、臨時の,,
192,traditional,,,伝統的な、従来の,,
193,admission,入場、入場料、入場許可,,,,
194,fit,,合う、入る,,,
195,reference,照会先、照会、参照,,,,
196,status,状況、地位,,,,
197,fuel,燃料,,,,
198,nearly,,,,ほとんど、もう少しで,
199,cafeteria,社員食堂,,,,
200,determine,,決定する、判断する、決心する,,,
201,expense,費用、経費,,,,
202,overseas,,,海外の,海外で,
203,satisfied,,,満足した,,
204,appear,,現れる、掲載される、～のように見える,,,
205,develop,,（計画等を）作り出す、開発する、（スキルを）高める,,,
206,improve,,改善する、改良する,,,
207,reasonable,,,（値段が）手ごろな、妥当な,,
208,unable,,,（～することが）できない,,
209,delay,遅れ,遅らせる,,,
210,legal,,,法律に関する、合法の,,
211,regulation,規制、規則,,,,
212,expand,,拡大する、進出する,,,
213,launch,開始、発売,開始する、発売する,,,
214,recommendation,推薦,,,,
215,direct,,向ける、管理する,直接の,,
216,profit,利益,利益を与える,,,
217,seek,,探し求める,,,
218,entry,エントリー（作品）、入場,,,,
219,claim,申し立て、主張、所有権,主張する、所有権を主張する,,,
220,crew,グループ、班、乗員,,,,
221,demand,需要,要求する,,,
222,figure,数字、人物,,,,
223,raise,昇級,挙げる、（お金を）集める、高める,,,
224,attach,,添付する,,,
225,attract,,ひきつける、呼び込む,,,
226,insurance,保険,,,,
227,departure,出発、逸脱,,,,
228,mayor,町長、市長,,,,
229,balance,残金、残額、バランス,,,,
230,estimate,見積もり,見積もる,,,
231,district,地区,,,,
232,former,前者,,前の、かつての,,
233,modern,,,現代的な、近代的な,,
234,tip,アドバイス、コツ,,,,
235,establish,,設立する、創立する,,,
236,option,選択肢、オプション,,,,
237,retire,,退職する,,,
238,search,捜索、検索,探す、検索する,,,
239,specific,,,具体的な、特定の,,
240,agricultural,,,農業の,,
241,historical,,,歴史（上）の,,
242,helpful,,,役立つ、助けになる,,
243,complaint,苦情、クレーム,,,,
244,related,,,関連した,,
245,simply,,,,単純に、単に,
246,unique,,,他にはない、独自の、特有の,,
247,concerning,,,,,～に関する
248,reputation,評判,,,,
249,ability,能力,,,,
250,arrival,到着,,,,
251,familiar,,,よく知っている、おなじみの,,
252,ideal,,,理想的な,,
253,maintain,,維持する、主張する,,,
254,landscaping,造園,,,,
255,organize,,（イベントなどを）計画する、取りまとめる、組織化する,,,
256,significant,,,かなりの、大幅な、重要な,,
257,occasion,特別な行事、（何かが起こる）時、好機,,,,
258,standard,基準,,標準の,,
259,background,経歴、拝啓,,,,
260,guided,,,ガイド付きの,,
261,advanced,,,進んだ、上級の、高度な,,
262,alternative,代案,,代わりの,,
263,confident,,,確信している、自信がある,,
264,decade,10年間、10年,,,,
265,initial,,,始めの、当初の,,
266,separate,分ける,,別れた、別々の,,
267,celebration,お祝い、祝典,,,,
268,concern,心配、懸念、関心事,,,,
269,environment,環境,,,,
270,operate,,操作する、運営する,,,
271,various,,,さまざまな,,
272,brief,,,短い,,
273,full-time,,,常勤の,,
274,overall,,,全体の,全体として,
275,achieve,,達成する,,,
276,basis,ベース、基準、根拠,,,,
277,complex,複合施設、集合住宅,,複雑な,,
278,delighted,,,とても喜んでいる,,
279,obtain,,得る、取得する,,,
280,honor,名誉,称える、（契約等を）守る,,,
281,properly,,,,ちゃんと、適切に,
282,suitable,,,ふさわしい、適切な,,
283,electronic,,,電子の、電子的な,,
284,finalize,,取りまとめる、仕上げる、最終決定する,,,
285,generous,,,寛大な、気前のよい,,
286,preparation,準備、用意,,,,
287,duty,任務、職務、関税,,,,
288,earn,,得る、もたらす,,,
289,willing,,,～することを嫌がらない、～する気がある,,
290,worth,,,,,価値がある
291,fund,資金、基金,資金を提供する,,,
292,overnight,,,一晩の、翌日配送の,一晩,
293,particularly,,,,特に,
294,aspect,面、曲面,,,,
295,hesitate,,ためらう,,,
296,involved,,,かかわった,,
297,regularly,,,,定期的に,
298,scholarship,奨学金,,,,
299,shortly,,,,じきに、まもなく,
300,automobile,自動車,,自動車の,,
301,deposit,頭金、敷金、保証金,預け入れる,,,
302,contain,,含む、所有する,,,
303,content,内容、中身,,満足している,,
304,proof,証拠、証明,,,,
305,affect,,影響する,,,
306,recognize,,(業績等を)認める、(人を)称える、識別する,,,
307,represent,,代表を務める、相当する、表す,,,
308,transfer,転勤、移動,転勤させる(する)、移動させる(する),,,
309,anniversary,～周年、記念日,,,,
310,automatically,,,,自動的に,
311,capacity,(生産)能力、収容能力、役割,,,,
312,destination,目的地、行き先,,,,
313,grant,補助金、助成金,与える、許可する,,,
314,publish,,出版する,,,
315,accompany,,添付する、同行する,,,
316,economic,,,経済の、経済上の,,
317,extremely,,,,極めて、非常に,
318,institution,機関、団体、しきたり,,,,
319,accurate,,,正確な,,
320,compete,,競う,,,
321,emphasize,,強調する,,,
322,aware,,,気づいて,,
323,crowded,,,混雑した,,
324,praise,称賛,誉める,,,
325,valuable,,,貴重な,,
326,explore,,調査する、探索する,,,
327,found,,設立する、創立する,,,
328,function,機能,機能する,,,
329,impact,影響,,,,
330,amazing,,,驚くべき,,
331,assure,,保証する、請け合う,,,
332,cooperation,協力,,,,
333,popularity,人気,,,,
334,permit,許可証,許可する,,,
335,solve,,解決する,,,
336,vote,投票,投票する,,,
337,crop,作物、収穫量,,,,
338,neighborhood,近所、地域,,,,
339,permanent,,,常設の、常雇用の、永久の,,
340,regret,,残念に思う,,,
341,slightly,,,,わずかに、少し,
342,complicated,,,複雑な,,
343,factor,要因、要素,,,,
344,favorable,,,好意的な、有利な,,
345,guarantee,保証,保証する,,,
346,mechanical,,,機械の,,
347,priority,優先順位、優先事項,,,,
348,relatively,,,,比較的,
349,resource,資源,,,,
350,shuttle,定期往復便,,,,
351,divide,,分ける,,,
352,native,出身の人,,出身の,,
353,afford,,～する余裕がある,,,
354,income,収入,,,,
355,occur,,起こる、発生する、行われる,,,
356,saving,値引き、貯蓄、節約,,,,
357,findings,(研究・調査の)結果、わかったこと,,,,
358,locate,,見つける,,,
359,postpone,,延期する,,,
360,preserve,保護区,保護する、保存する,,,
361,prove,,わかる、判明する、証明する,,,
362,exact,,,正確な,,
363,gain,増加、利益,得る,,,
364,labor,労働、労働者,,,,
365,regard,点,みなす、評価する,,,
366,closely,,,,密に、注意深く,
367,deserve,,値する,,,
368,identify,,特定する,,,
369,loyal,,,忠実な,,
370,promising,,,有望な,,
371,stress,ストレス、強調,強調する,,,
372,analyze,,分析する,,,
373,commission,委員会、歩合,委託する、委任する,,,
374,committed,,,熱心に取り組む、献身的な,,
375,comparison,比較,,,,
376,component,部品,,,,
377,enable,,可能にする,,,
378,enjoyable,,,楽しい,,
379,existing,,,従来の、既存の,,
380,flyer,チラシ、(飛行機の)乗客,,,,
381,proceed,,進む,,,
382,prevent,,防ぐ、阻む,,,
383,alike,,,よく似た,同様に,
384,appoint,,指名する、任命する,,,
385,connection,接続、つながり、関連、乗り継ぎ,,,,
386,eager,,,～したがる、熱望する,,
387,ease,容易さ、たやすさ,やわらげる、容易にする,,,
388,fairly,,,,かなり,
389,absolutely,,,,完全に、間違いなく,
390,atmosphere,雰囲気,,,,
391,calculate,,計算する,,,
392,contrast,対照、はっきりした違い,対照的である,,,
393,monitor,(コンピュータの)モニター,監視する,,,
394,occasionally,,,,時々,
395,practical,,,実務の、実際の、実用的な,,
396,serious,,,重大な、真剣な、重要な,,
397,strength,強さ、強度、(液体等の)濃さ,,,,
398,equally,,,,同じように、均等に,
399,import,輸入、輸入品,輸入する,,,
400,informal,,,非公式の、カジュアルな,,
401,lately,,,,最近、この頃,
402,profession,専門的職業,,,,
403,supervisor,上司、責任者,,,,
404,ensure,,保証する、請け合う,,,
405,submission,提出物、提出,,,,
406,notify,,知らせる,,,
407,definitely,,,,間違いなく、絶対に,
408,eligible,,,資格がある,,
409,paperwork,書類、書類作業,,,,
410,complimentary,,,無料の,,
411,revise,,修正する、見直す,,,
412,track,線路、走路,追跡する,,,
413,administrative,,,管理の,,
414,retail,小売り,,,,
415,inventory,在庫(表)、棚卸,,,,
416,extensive,,,詳細な、幅広い、大規模な,,
417,promotional,,,販売促進用の、販促の,,
418,catering,仕出し、出前、ケータリング,,,,
419,wildlife,野生動物,,,,
420,assign,,割り当てる、任命する,,,
421,imply,,ほのめかす、暗示する,,,
422,banquet,夕食会,,,,
423,valid,,,有効な,,
424,affordable,,,手ごろな,,
425,renovate,,改装する,,,
426,guidelines,指針、ガイドライン,,,,
427,certificate,認定証、終了証,,,,
428,innovative,,,革新的な,,
429,agenda,議題、協議事項,,,,
430,assembly,組立、集会,,,,
431,install,,設置する、導入する、(プログラム等を)インストールする,,,
432,orientation,新入社員向け説明会,,,,
433,renowned,,,名高い、著名な,,
434,appropriate,,,適切な、適した,,
435,ingredient,(料理の)材料,,,,
436,storage,保管、貯蔵,,,,
437,beverage,飲料,,,,
438,prior,,,前の,,
439,merger,合併、統合,,,,
440,inn,宿、ホテル,,,,
441,equip,,備え付ける、装備する,,,
442,summary,ようやく,,,,
443,lease,賃貸借(契約),賃貸借する,,,
444,defective,,,欠陥のある、不良の,,
445,quarterly,,,年に4回の、四半期ごとの,年に4回,
446,extended,,,長期の、長時間の,,
447,architect,建築家,,,,
448,grocery,食品雑貨,,食品雑貨の,,
449,sculpture,彫刻,,,,
450,itinerary,旅程表,,,,
451,directory,名簿,,,,
452,expire,,期限が切れる,,,
453,vendor,業者、露天商,,,,
454,colleague,同僚,,,,
455,patron,愛用者、利用者,,,,
456,relocate,,移転させる、引っ越す,,,
457,tourism,観光事業,,,,
458,remodel,,改築する、リフォームする,,,
459,consumer,消費者,,,,
460,inspect,,検査する,,,
461,numerous,,,数多くの,,
462,payroll,給与、給与管理、賃金台帳,,,,
463,qualified,,,資格のある、適任の,,
464,appliance,電化製品,,,,
465,competitive,,,他に負けない、競争の激しい,,
466,specialize,,専門とする,,,
467,questionnaire,アンケート用紙,,,,
468,approximately,,,,おおよそ、約,
469,contribute,,貢献する、寄付する,,,
470,productivity,生産性,,,,
471,promptly,,,,すばやく、(時刻)きっかりに、即座に,
472,strategy,戦略,,,,
473,dedicated,,,献身的な、専用の、特化した,,
474,exceptional,,,並外れた、非常に素晴らしい,,
475,luncheon,昼食会,,,,
476,exceed,,超える,,,
477,multiple,,,複数の,,
478,specify,,明確に述べる、明記する,,,
479,venue,会場,,,,
480,household,家庭,,家庭用の,,
481,evaluate,,評価する,,,
482,negotiate,,交渉する,,,
483,booking,予約,,,,
484,circulation,発行部数、流通、(図書館の)貸出,,,,
485,completion,完了、終了,,,,
486,relevant,,,関連した,,
487,thorough,,,徹底的な,,
488,valid,,,,,～を経由して
489,workplace,職場,,,,
490,accommodations,宿泊施設,,,,
491,flexible,,,柔軟な、フレキシブルな,,
492,predict,,予測する,,,
493,preference,好み、希望,,,,
494,substantial,,,かなりの、頑丈な,,
495,accessible,,,到達できる、利用できる,,
496,coverage,報道、(保険の)補填,,,,
497,generate,,生み出す,,,
498,refreshment,軽い飲食物,,,,
499,reliable,,,信頼できる、頼りになる,,
500,revenue,収入,,,,
501,fund-raising,,,資産調達のための、慈善の,,
502,accomplished,,,熟達した、スキルの高い,,
503,acquire,,買収する、得る、獲得する,,,
504,accordingly,,,,それに応じて、結果として,
505,critic,評論家、批評家,,,,
506,highlight,見どころ,強調する、スポットを当てる,,,
507,profile,プロフィール,人物紹介する,,,
508,motivate,,やる気にさせる,,,
509,subscription,購読、加入、会費,,,,
510,encounter,,(問題や困難に)直面する、遭う、出くわす,,,
511,luxury,高級、ぜいたく,,高級な,,
512,prohibit,,禁止する,,,
513,resolve,,解決する,,,
514,restore,,復旧させる、取り戻す、修復する,,,
515,surrounding,,,周辺の,,
516,alert,警報,(重要なことを)知らせる,警戒した,,
517,anticipated,,,待ち望まれた,,
518,consistently,,,,常に、変わらず,
519,dairy,乳製品、酪農場、酪農業,,,,
520,phase,段階,,,,
521,manuscript,原稿,,,,
522,overtime,残業,,,時間外に,
523,premises,敷地,,,,
524,utility,公共料金、公共サービス,,,,
525,laundry,洗濯(物),,,,
526,enthusiastic,,,熱心な、関心が高い、乗り気である,,
527,outline,概要,概要を説明する,,,
528,packet,小包、袋,,,,
529,retain,,保管する,,,
530,belongings,所持品、所有物,,,,
531,conservation,節約、環境保護,,,,
532,routine,,,所定の、日常的に行われる,,
533,urban,,,都会の、都市の、都会での,,
534,workforce,全従業員,,,,
535,biography,人物紹介、伝記,,,,
536,ownership,所有(権)、所有者であること,,,,
537,pastry,焼き菓子,,,,
538,tenant,賃借人、入居者,,,,
539,workload,仕事量,,,,
540,sufficient,,,十分な,,
541,characteristic,特徴,,特徴的な,,
542,combined,,,共同の、連合の,,
543,conclude,,終わる、終える、結論を出す,,,
544,associate,同僚、アシスタント,関連付ける,アシスタントの,,
545,conflict,衝突、対立,,,,
546,investment,投資,,,,
547,physician,医師,,,,
548,token,印,,,,
549,partial,,,部分的な、一部の,,
550,resume,,再開する,,,
551,dealership,販売特約店,,,,
552,garment,衣料品,,,,
553,implement,,実行する、実施する,,,
554,paycheck,給与、給与小切手,,,,
555,recruit,新人,採用する、応募する,,,
556,substitute,代わりを務める人、代用品,～を代わりに用いる,,,
557,typically,,,,通常、典型的に,
558,authorize,,公認する、権限を与える,,,
559,comparable,,,同等の、匹敵する、類似の,,
560,faculty,(大学の)教員、学部,,,,
561,initiative,新しい計画、主導権,,,,
562,postage,郵便料金,,,,
563,afterwords,,,,そのあとで,
564,aim,目標、狙い,目指す、狙う,,,
565,generally,,,,おおむね、通常、一般的に,
566,occupied,,,(部屋、座席、ベッド等が)使われている,,
567,solid,,,確かな、信頼できる,,
568,attempt,試み,試みる,,,
569,authority,権限、権力、権威、当局,,,,
570,domestic,,,国内の,,
571,permission,許可,,,,
572,presence,存在感、出席,,,,
573,rapidly,,,,急速に,
574,relief,安心感、(苦痛・悩み等の)緩和,,,,
575,reward,報酬、ほうび,報いる、ほうびを与える,,,
576,translate,,翻訳する,,,
577,circumstance,状況,,,,
578,contrary,正反対,,正反対の,,
579,eventually,,,,最終的には、結局,
580,expose,,さらす、触れさせる、暴露する,,,
581,panel,グループ、パネル,,,,
582,portion,部分、ひとり分の食事,,,,
583,primary,,,主な,,
584,remark,(スピーチでの)言葉、コメント、意見,コメントする,,,
585,timely,,,タイミングの良い、タイムリーな,,
586,commonly,,,,一般に、通常の、普通に,
587,consult,,(医者、弁護士等の専門家に)相談する,,,
588,convert,,改造する、変える,,,
589,obligation,義務,,,,
590,resign,,辞職する、辞任する,,,
591,securely,,,,しっかりと、安全に,
592,strive,,懸命に努力する,,,
593,timeline,予定表,,,,
594,urge,,強く促す,,,
595,acknowledge,,(受け取ったことを)知らせる、認める,,,
596,diverse,,,多種多様な、たくさんの種類の,,
597,transaction,取引,,,,
598,lack,不足,～が不足している,,,
599,essential,,,最も重要な、必要不可欠、本質的な,,
600,majority,大多数、大部分,,,,
601,observe,,気づく、順守する、観察する,,,
602,possess,,(財産、所有物等として)持つ、所有する,,,
603,sharply,,,,急激に、はっきりと,
604,adjustment,調整、調節,,,,
605,aisle,通路,,,,
606,capture,,(映像や写真に)記録する、とらえる,,,
607,consist,,～から成る,,,
608,desirable,,,望ましい,,
609,heavily,,,,大量に、非常に頻繁に,
610,investigate,,調査する,,,
611,measurement,寸法、測定,,,,
612,urgent,,,緊急の,,
613,checkout,レジ、(ホテルの)チェックアウト,,,,
614,dispose,,処分する,,,
615,modify,,修正する,,,
616,outlet,店舗、コンセント,,,,
617,prescription,処方せん,,,,
618,situated,,,位置している,,
619,surprisingly,,,,驚いたことに,
620,transform,,(姿、形、性質等を)一変させる,,,
621,undergo,,(検査、修理等を)経験する、受ける,,,
622,blueprint,設計図、青写真,,,,
623,boost,押し上げること,押し上げる、引き上げる,,,
624,considerably,,,,かなり,
625,eliminate,,取り除く、排除する,,,
626,exclusively,,,,限定で、独占的に,
627,leak,漏れ,漏れる、漏らす,,,
628,preliminary,,,仮の、暫定の、本番前の,,
629,sophisticated,,,洗練された、高性能の,,
630,statistics,統計、統計学,,,,
631,vacant,,,空の、空いた、欠員の,,
632,evidence,証拠、証明,,,,
633,excursion,お出かけ、小旅行,,,,
634,influence,影響,影響を与える,,,
635,ordinary,,,普通の、通常の,,
636,reject,,却下する、拒否する,,,
637,tailor,,(ニーズや目的に合うように)合わせる、調整する,,,
638,assume,,引き受ける、思い込む、仮定する,,,
639,engagement,約束,,,,
640,fame,名声,,,,
641,modest,,,少しの、高価ではない、謙虚な,,
642,patent,特許,,,,
643,pursue,,追及する、追い求める,,,
644,remote,,,人里離れた、可能性が低い,,
645,reveal,,明らかにする,,,
646,allowance,手当、小遣い、許容量,,,,
647,crucial,,,非常に重要な,,
648,distinguished,,,際立って優れた、傑出した,,
649,disturb,,邪魔する、悩ませる,,,
650,fluent,,,流ちょうな、堪能な,,
651,fulfill,,満たす、果たす,,,
652,objective,目的、目標,,,,
653,restrict,,制限する,,,
654,steadily,,,,着実に,
655,adequate,,,(要求を満たすのに)十分な、適切な,,
656,assessment,評価、見積もり,,,,
657,attribute,,起因すると考える、おかげであるとする,,,
658,beforehand,,,,あらかじめ、事前に,
659,challenging,,,(困難だが)やりがいのある,,
660,endeavor,努力、試み,努力する,,,
661,inspiring,,,やる気が出るような、活気づける,,
662,remarkable,,,驚くべき、注目すべき,,
663,measure,対策、手段,測定する、評価する,,,
664,struggle,,奮闘する,,,
665,wage,賃金,,,,
666,adapt,,適応する、適応させる、改作する,,,
667,ambitious,,,意欲的な、野心的な,,
668,capable,,,能力がある,,
669,consequence,(～が招いた)結果,,,,
670,impose,,課す、負わせる、強制する,,,
671,latter,後者,,,,
672,output,生産高、生産量,,,,
673,proudly,,,,誇らしげに、堂々と,
674,stable,,,安定した,,
675,transition,移行、転身,,,,
676,consent,同意,,,,
677,dependable,,,信頼できる,,
678,diligent,,,勤勉な、まじめな,,
679,illustrate,,(例や図表を使って)説明する,,,
680,independently,,,,単独で、独立して,
681,mission,使命、ミッション,,,,
682,moderate,,,ほどほどの、適度な,,
683,outlook,見通し、モノの見方,,,,
684,precisely,,,,正確に,
685,concentrated,,,集中的な、脳出された,,
686,ample,,,十分な、あり余るほどの,,
687,asset,財産、役立つ人やモノ,,,,
688,controversial,,,議論を引き起こす、議論の的になる,,
689,disappointing,,,期待外れの、がっかりさせるような,,
690,instrumental,,,重要な役割を果たす,,
691,interruption,中断,,,,
692,perspective,観点、見方、考え方,,,,
693,scope,範囲、余地,,,,
694,speculation,推測、推量,,,,
695,supplement,付録、付記、栄養補助食品,補う,,,
696,understaffed,,,人手不足の,,
697,rarely,,,,めったに～しない、まれに,
698,caution,注意、警告,注意する、警告する,,,
699,legislation,法律、法制化,,,,
700,logical,,,妥当な、論理的な、筋の通った,,
